Name,Colors,Year,Genre,Style,Link
Houses with Thatched Roofs,"('Medium Champagne', 'Navajo White', 'Burlywood', 'Coffee', 'Gray')",1884,landscape,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/houses-with-thatched-roofs-1884.jpg!Large.jpg
Landscape at Nuenen,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,landscape,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/landscape-at-nuenen.jpg!Large.jpg
Landscape with Pollard Willows,"('Gray', 'Kombu Green', 'Gray', 'Pastel Pink', 'Misty Rose')",1884,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/landscape-with-pollard-willows-1884.jpg!Large.jpg
Landscape with Willows and Sun Shining Through the Clouds,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/landscape-with-willows-and-sun-shining-through-the-clouds-1884.jpg!Large.jpg
Lane in Autumn,"('Gray', 'Bistre', 'Antique White', 'Ivory', 'Seashell')",1884,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/lane-in-autumn-1884.jpg!Large.jpg
Lane with Trees and One Figure,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/lane-with-trees-and-one-figure-1884.jpg!Large.jpg
Man Winding Yarn,"('French Beige', 'Beaver', 'Tan', 'Van Dyke', 'Gray')",1884,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/man-winding-yarn-1884.jpg!Large.jpg
Mangle with Two Women and a Man,"('Timberwolf', 'Gray', 'Ebony', 'Ivory', 'Gray')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/mangle-with-two-women-and-a-man-1884.jpg!Large.jpg
New-Born Calf Lying on Straw,"('Lemon Chiffon', 'Tan', 'Copper', 'Sepia', 'Gray')",1884,animal painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/new-born-calf-lying-on-straw.jpg!Large.jpg
Old Man Reeling Yarn,"('Taupe', 'Gray', 'Bone', 'Silver Pink', 'Old Burgundy')",1884,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/old-man-reeling-yarn-1884.jpg!Large.jpg
Oxcart in the Snow,"('Kombu Green', 'Dark Olive', 'Olivine', 'Eggshell', 'Medium Champagne')",1884,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/oxcart-in-the-snow-1884.jpg!Large.jpg
Parsonage Garden,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/parsonage-garden-1884.jpg!Large.jpg
Parsonage Garden,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/parsonage-garden-1884-1.jpg!Large.jpg
Parsonage with Flowering Trees,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/parsonage-with-flowering-trees-1884.jpg!Large.jpg
Part of a Portrait of Anthon van Rappard,"('Camel', 'Tan', 'Burlywood', 'Gray', 'Van Dyke')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/part-of-a-portrait-of-anthon-van-rappard-1884.jpg!Large.jpg
"Peasant Woman, Head","('Gray', 'Gray', 'Gray', 'Ebony', 'Gray')",1884,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/peasant-woman-head-1884.jpg!Large.jpg
"Peasant Woman, Head","('Gray', 'Gray', 'Gray', 'Old Burgundy', 'Gray')",1884,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/peasant-woman-head-1884-1.jpg!Large.jpg
"Peasant Woman, Head","('Ivory', 'Timberwolf', 'Gray', 'Gray', 'Old Burgundy')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/peasant-woman-head.jpg!Large.jpg
"Peasant Woman, Head","('Gray', 'Gray', 'Snow', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-1.jpg!Large.jpg
"Peasant Woman, Head","('Gray', 'Gray', 'Snow', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-2.jpg!Large.jpg
"Peasant Woman, Head","('Grullo', 'Cornsilk', 'Antique White', 'Bistre', 'Bisque')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-3.jpg!Large.jpg
"Peasant Woman, Head","('Antique White', 'Bisque', 'Caput Mortuum', 'Coffee', 'Beaver')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-4.jpg!Large.jpg
"Peasant Woman, Head","('Timberwolf', 'Gray', 'Ivory', 'Gray', 'Old Burgundy')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-5.jpg!Large.jpg
"Peasant Woman, Head","('Timberwolf', 'Gray', 'Middle Grey', 'Gray', 'Old Burgundy')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-6.jpg!Large.jpg
"Peasant Woman, Head","('Timberwolf', 'Gray', 'Gray', 'Old Burgundy', 'Gray')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-7.jpg!Large.jpg
"Peasant Woman, Head","('Eggshell', 'Gray', 'Bisque', 'Grullo', 'Ivory')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/peasant-woman-head-8.jpg!Large.jpg
"Peasant Woman, Stooping to the Left","('Old Burgundy', 'Cornsilk', 'Antique White', 'Gray', 'Grullo')",1884,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/peasant-woman-stooping-to-the-left.jpg!Large.jpg
Peasants planting potatoes,"('Gray', 'Gray', 'Black Olive', 'Ebony', 'Gray')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/peasants-planting-potatoes-1884.jpg!Large.jpg
Pine Trees in the Fen,"('Burlywood', 'Fawn', 'Caput Mortuum', 'Chamoisee', 'Smoky Black')",1884,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/pine-trees-in-the-fen-1884.jpg!Large.jpg
Ploughman with Woman Planting Potatoes,"('Light Yellow', 'Moss Green', 'Metallic Gold', 'Coffee', 'Dark Brown')",1884,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/ploughman-with-woman-planting-potatoes-1884.jpg!Large.jpg
Pollard Birches,"('Tumbleweed', 'Van Dyke', 'French Beige', 'Caput Mortuum', 'Smoky Black')",1884,landscape,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/pollard-birches-1884.jpg!Large.jpg
Poplar Trees,"('Gray', 'Silver Pink', 'Eggshell', 'Rosy Brown', 'Eggplant')",1884,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/poplar-trees-1884.jpg!Large.jpg
Potato Harvest with Two Figures,"('Dark Jungle', 'Dark Olive', 'Khaki', 'Burlywood', 'Lemon Chiffon')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/potato-harvest-with-two-figures-1884.jpg!Large.jpg
Shepherd with a Flock of Sheep,"('Dark Jungle', 'French Bistre', 'Rifle Green', 'French Beige', 'Wheat')",1884,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/shepherd-with-a-flock-of-sheep-1884.jpg!Large.jpg
Sketches of Heads,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/sketches-of-heads-1884.jpg!Large.jpg
Sower,"('Dark Jungle', 'Kombu Green', 'Khaki', 'Lemon Chiffon', 'Lemon Meringue')",1884,genre painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/sower-1884.jpg!Large.jpg
Still Life of Paintbrushes in a Flowerpot,"('Metallic Sunburst', 'Brass', 'Bistre', 'Bistre', 'Sweet Brown')",1884,still life,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/still-life-of-paintbrushes-in-a-flowerpot-1884.jpg!Large.jpg
Still Life with Clogs and Pots,"('Spanish Bistre', 'Copper', 'Caput Mortuum', 'Sienna', 'Gray')",1884,still life,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/still-life-with-clogs-and-pots-1884.jpg!Large.jpg
"Still Life with Coffee Mill, Pipe Case and Jug","('Brass', 'Camel', 'Sienna', 'Sienna', 'Gray')",1884,still life,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-with-coffee-mill-pipe-case-and-jug-1884.jpg!Large.jpg
Still Life with Five Bottles,"('Kombu Green', 'Gray', 'Wheat', 'Lemon Meringue', 'Light Yellow')",1884,still life,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-with-five-bottles-1884.jpg!Large.jpg
"Still Life with Four Stone Bottles, Flask and White Cup","('Light Goldenrod', 'Persian Orange', 'Metallic Sunburst', 'Gray', 'Sienna')",1884,still life,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-with-four-stone-bottles-flask-and-white-cup-1884.jpg!Large.jpg
Still Life with Two Sacks and a Bottle,"('Gray', 'Tan', 'Tan', 'Caput Mortuum', 'Brown')",1884,still life,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/still-life-with-two-sacks-and-a-bottle-1884.jpg!Large.jpg
The Kingfisher,"('Camel', 'Tan', 'Burlywood', 'Van Dyke', 'Gray')",1884,landscape,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/the-kingfisher-1884.jpg!Large.jpg
The Old Tower,"('Gray', 'Gray', 'Van Dyke', 'Antique White', 'Wine')",1884,landscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/the-old-tower-1884.jpg!Large.jpg
The Old Tower in the Fields,"('Deep Saffron', 'Chocolate', 'Chocolate', 'Rust', 'Barn Red')",1884,landscape,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/the-old-tower-in-the-fields-1884.jpg!Large.jpg
The Vicarage Garden,"('Wheat', 'Burlywood', 'Light French', 'Bistre', 'Coffee')",1884,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/the-vicarage-garden-1884.jpg!Large.jpg
Three Hands,"('Navajo White', 'Tan', 'French Bistre', 'Van Dyke', 'Gray')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/three-hands.jpg!Large.jpg
Three Hands,"('Wheat', 'Beaver', 'Bisque', 'Dark Brown', 'Smoky Black')",1884,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/three-hands-2.jpg!Large.jpg
Three Hands,"('Wheat', 'Van Dyke', 'French Beige', 'Bisque', 'Smoky Black')",1884,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/three-hands-3.jpg!Large.jpg
"Three Hands, Two Holding Forks","('Burlywood', 'French Beige', 'Burlywood', 'Dark Brown', 'Smoky Black')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/three-hands-two-holding-forks.jpg!Large.jpg
"Three Hands, Two with Knives","('Burlywood', 'Lemon Chiffon', 'Dutch White', 'Van Dyke', 'Gray')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/three-hands-two-with-knives.jpg!Large.jpg
Three Woodcutters Walking,"('Dutch White', 'Coffee', 'Beaver', 'Antique White', 'Van Dyke')",1884,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/three-woodcutters-walking-1884.jpg!Large.jpg
Two Rats,"('Navajo White', 'Silver Pink', 'Eggshell', 'Bistre', 'Gray')",1884,animal painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/two-rats-1884.jpg!Large.jpg
Vase with Honesty,"('Olive Green', 'Brass', 'Spanish Bistre', 'Dark Brown', 'Brown')",1884,flower painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/vase-with-honesty-1884.jpg!Large.jpg
Vicarage at Nuenen,"('Dark Brown', 'Coffee', 'French Beige', 'Burlywood', 'Burlywood')",1884,cityscape,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/vicarage-at-nuenen-1884.jpg!Large.jpg
Village at sunset,"('Russet', 'Sepia', 'Bistre', 'Ochre', 'Gray')",1884,landscape,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/village-at-sunset-1884.jpg!Large.jpg
Water Wheels of Mill at Gennep,"('Spanish Bistre', 'Buff', 'Deep Champagne', 'Dark Brown', 'Gray')",1884,cityscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/water-wheels-of-mill-at-gennep-1884.jpg!Large.jpg
Watermill at Gennep,"('Gray', 'Old Burgundy', 'Gray', 'Gray', 'Gray')",1884,landscape,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/watermill-at-gennep-1884.jpg!Large.jpg
Weaver,"('Navajo White', 'Bisque', 'French Bistre', 'Bistre', 'Smoky Black')",1884,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/weaver-1884.jpg!Large.jpg
Weaver,"('Tan', 'Coffee', 'French Beige', 'Taupe', 'Gray')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-1884-1.jpg!Large.jpg
Weaver,"('Burlywood', 'Wheat', 'Camel', 'Sepia', 'Smoky Black')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-1884-2.jpg!Large.jpg
Weaver,"('Wheat', 'Bronze', 'Sienna', 'Caput Mortuum', 'Smoky Black')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-1884-3.jpg!Large.jpg
Weaver,"('Black Olive', 'Gray', 'Spanish Bistre', 'Sage', 'Camel')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-1884-4.jpg!Large.jpg
Weaver,"('Sage', 'Ivory', 'Army Green', 'Chocolate', 'Rust')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-1884-5.jpg!Large.jpg
Weaver Facing Left,"('Gray', 'Old Burgundy', 'Dim Gray', 'Black Shadows', 'Seashell')",1884,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/weaver-facing-left-1884.jpg!Large.jpg
Weaver Facing Left,"('Cornsilk', 'Grullo', 'Light Yellow', 'Dim Gray', 'Old Burgundy')",1884,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/weaver-facing-left-1884-1.jpg!Large.jpg
Weaver Facing Right,"('Gray', 'Light French', 'Gray', 'Beaver', 'Gray')",1884,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/weaver-facing-right-1884.jpg!Large.jpg
"Weaver Facing Right, Interior with One Window and High Chair","('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/weaver-facing-right-interior-with-one-window-and-high-chair-1884.jpg!Large.jpg
Weaver near an Open Window,"('Vegas Gold', 'Misty Moss', 'Van Dyke', 'Bistre', 'Gray')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-near-an-open-window-1884.jpg!Large.jpg
Weaver Standing in Front of a Loom,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/weaver-standing-in-front-of-a-loom-1884.jpg!Large.jpg
Weaver with Other Figures in Front of Loom,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/weaver-with-other-figures-in-front-of-loom-1884.jpg!Large.jpg
"Weaver, Arranging Threads","('Gray', 'Gray', 'Gray', 'Gray', 'Nickel')",1884,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/weaver-arranging-threads-1884.jpg!Large.jpg
"Weaver, seen from the Front","('Gray', 'Khaki', 'Wheat', 'Metallic Sunburst', 'Coffee')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/weaver-seen-from-the-front-1884.jpg!Large.jpg
"Weaver, with a Baby in a Highchair","('Bisque', 'Beaver', 'French Bistre', 'Caput Mortuum', 'Gray')",1884,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/weaver-with-a-baby-in-a-highchair-1884.jpg!Large.jpg
Wheat Harvest,"('Dark Brown', 'Lemon Chiffon', 'Bistre', 'Burlywood', 'Bisque')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/wheat-harvest-1884.jpg!Large.jpg
Winter Garden,"('Gray', 'Lemon Chiffon', 'Bistre', 'Beaver', 'Coffee')",1884,landscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/winter-garden-1884.jpg!Large.jpg
Woman Reeling Yarn,"('Ivory', 'Gray', 'Gray', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-reeling-yarn-1884.jpg!Large.jpg
Woman Reeling Yarn,"('Gray', 'Gray', 'Gray', 'Snow', 'Gray')",1884,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/woman-reeling-yarn-1884-1.jpg!Large.jpg
Woman with Wheelbarrow at Night,"('Timberwolf', 'Gray', 'Ivory', 'Gray', 'Old Burgundy')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/woman-with-wheelbarrow-at-night-1884.jpg!Large.jpg
"Wood Gatherer, Figure Study","('Gray', 'Gray', 'Ivory', 'Gray', 'Gray')",1884,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/wood-gatherer-figure-study-1884.jpg!Large.jpg
Wood Gatherers In The Snow,"('Kombu Green', 'Spanish Bistre', 'Light French', 'Ivory', 'Chocolate')",1884,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/wood-gatherers-in-the-snow-1884.jpg!Large.jpg
Young Man with a Pipe,"('Deep Champagne', 'Burlywood', 'French Bistre', 'Bistre', 'Rust')",1884,portrait,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/young-man-with-a-pipe-1884.jpg!Large.jpg
"Watermill in Kollen, near Nuenen","('Light Steel', 'Light Goldenrod', 'Coffee', 'Old Burgundy', 'Coffee')",1884,landscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/watermill-in-kollen-near-nuenen-1884.jpg!Large.jpg
Landscape with windswept trees,"('Gray', 'Kombu Green', 'Dark Moss', 'Khaki', 'Light Yellow')",1884,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/landscape-with-windswept-trees-1884.jpg!Large.jpg
Two Hands,"('Medium Champagne', 'Wheat', 'French Beige', 'Van Dyke', 'Smoky Black')",1884,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/two-hands.jpg!Large.jpg
Interior with Woman Sewing,"('Lemon Chiffon', 'Bistre', 'Sage', 'Cornsilk', 'Navajo White')",1884,sketch and study,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/interior-with-woman-sewing.jpg!Large.jpg
Autumn Landscape,"('Maximum Blue', 'Cool Grey', 'Rust', 'Burnt Umber', 'Dark Sienna')",1885,landscape,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/autumn-landscape-1885(1).jpg!Large.jpg
Autumn Landscape at Dusk,"('Spanish Bistre', 'Minion Yellow', 'Dark Sienna', 'Sepia', 'Smoky Black')",1885,landscape,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/autumn-landscape-at-dusk-1885(1).jpg!Large.jpg
Autumn Landscape with Four Trees,"('Lemon Chiffon', 'Persian Orange', 'Metallic Sunburst', 'Coffee', 'Salmon')",1885,landscape,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/autumn-landscape-with-four-trees-1885(1).jpg!Large.jpg
Backyards of Old Houses in Antwerp in the Snow,"('Buff', 'Fawn', 'French Beige', 'Coffee', 'Dark Sienna')",1885,cityscape,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/backyards-of-old-houses-in-antwerp-in-the-snow-1885.jpg!Large.jpg
Basket of Potatoes,"('Earth Yellow', 'Earth Yellow', 'French Beige', 'Coffee', 'Gray')",1885,still life,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/basket-of-potatoes-1885(1).jpg!Large.jpg
Basket of Potatoes,"('Spanish Bistre', 'Windsor Tan', 'Sepia', 'Dark Sienna', 'Smoky Black')",1885,still life,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/basket-of-potatoes-1885-1(1).jpg!Large.jpg
Baskets of Potatoes,"('Bronze', 'Ochre', 'Seal Brown', 'Smoky Black', 'Saddle Brown')",1885,still life,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/baskets-of-potatoes-1885(1).jpg!Large.jpg
Beer Tankards,"('Gray', 'Burlywood', 'Burlywood', 'Camel', 'Rose Taupe')",1885,still life,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/beer-tankards-1885(1).jpg!Large.jpg
Bird's Nest,"('Gray', 'Army Green', 'Light Yellow', 'Light Yellow', 'Camel')",1885,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/bird-s-nest-1885(1).jpg!Large.jpg
Bobbin Winder,"('Gray', 'Russian Violet', 'Gold Fusion', 'Van Dyke', 'Gray')",1885,still life,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/bobbin-winder-1885(1).jpg!Large.jpg
Building in Eindhoven (the Weigh-House),"('Eggshell', 'Rifle Green', 'Bisque', 'Silver Pink', 'Cornsilk')",1885,cityscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/building-in-eindhoven-the-weigh-house-1885(1).jpg!Large.jpg
City View,"('Beaver', 'Gray', 'Bisque', 'Bisque', 'Gray')",1885,cityscape,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/city-view(1).jpg!Large.jpg
"Clock, Clog with Cutlery and a Spoon Rack","('Camel', 'Navajo White', 'French Bistre', 'Tan', 'Bistre')",1885,still life,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/clock-clog-with-cutlery-and-a-spoon-rack-1885(1).jpg!Large.jpg
Cottage and Woman with Goat,"('Goldenrod', 'Cornsilk', 'Bronze', 'Sienna', 'Bistre')",1885,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/cottage-and-woman-with-goat-1885(1).jpg!Large.jpg
Cottage with Decrepit Barn and Stooping Woman,"('Light Steel', 'Camel', 'Chamoisee', 'Caput Mortuum', 'Smoky Black')",1885,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/cottage-with-decrepit-barn-and-stooping-woman-1885(1).jpg!Large.jpg
Cottage with Peasant Coming Home,"('Brass', 'Brass', 'Eggshell', 'Beaver', 'Van Dyke')",1885,landscape,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/cottage-with-peasant-coming-home-1885(1).jpg!Large.jpg
Cottage with Peasant Woman Digging,"('Asparagus', 'Tan', 'Gray', 'Sienna', 'Caput Mortuum')",1885,landscape,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/cottage-with-peasant-woman-digging-1885(1).jpg!Large.jpg
Cottage with Trees,"('Bistre', 'Dark Brown', 'Burlywood', 'Tuscany', 'Antique White')",1885,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/cottage-with-trees-1885(1).jpg!Large.jpg
Cottage with Trees,"('Sienna', 'Sienna', 'Sienna', 'Caput Mortuum', 'Smoky Black')",1885,landscape,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/cottage-with-trees-1885-1(1).jpg!Large.jpg
Cottage with Trees and Peasant Woman,"('Gray', 'Gray', 'Navajo White', 'Tan', 'French Bistre')",1885,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/cottage-with-trees-and-peasant-woman-1885(1).jpg!Large.jpg
Cottage with Woman Digging,"('Gray', 'Coffee', 'French Beige', 'Dark Brown', 'Gray')",1885,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/cottage-with-woman-digging-1885(1).jpg!Large.jpg
Country Churchyard and Old Church Tower,"('Cadet Grey', 'Bistre', 'Spanish Bistre', 'Sienna', 'Sepia')",1885,landscape,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/country-churchyard-and-old-church-tower-1885(1).jpg!Large.jpg
Country Lane with Two Figures,"('Khaki', 'Brass', 'Dark Brown', 'Bistre', 'Smoky Black')",1885,landscape,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/country-lane-with-two-figures-1885(1).jpg!Large.jpg
Couple Dancing,"('Burlywood', 'Burlywood', 'French Beige', 'Smoky Black', 'Cedar Chest')",1885,sketch and study,Post-Impressionism,https://uploads1.wikiart.org/images/vincent-van-gogh/couple-dancing-1885(1).jpg!Large.jpg
Dance-hall,"('Lemon Chiffon', 'Tumbleweed', 'Copper Red', 'Deep', 'Dark Sienna')",1885,sketch and study,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/dance-hall-1885(1).jpg!Large.jpg
Digger in a Potato Field: February,"('Banana Mania', 'Navajo White', 'Bistre', 'Light Salmon', 'Camel')",1885,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/digger-in-a-potato-field-february-1885(1).jpg!Large.jpg
Entrance to the Old Tower,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1885,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/entrance-to-the-old-tower-1885(1).jpg!Large.jpg
Feet,"('Navajo White', 'Bisque', 'Bisque', 'Persian Orange', 'Bistre')",1885,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/feet-1885(1).jpg!Large.jpg
Feet,"('Old Burgundy', 'Dim Gray', 'Grullo', 'Silver Pink', 'Bone')",1885,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/feet-1885-1(1).jpg!Large.jpg
Five Persons at a Meal,"('Dark Jungle', 'Kombu Green', 'Gray', 'Laurel Green', 'Gray')",1885,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/five-persons-at-a-meal-1885(1).jpg!Large.jpg
Four Hands,"('Light French', 'Burlywood', 'Bisque', 'Bistre', 'Gray')",1885,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/four-hands(1).jpg!Large.jpg
"Four Hands, Two Holding Bowls","('Coffee', 'Beaver', 'Lemon Chiffon', 'Dutch White', 'Van Dyke')",1885,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/four-hands-two-holding-bowls-1885(1).jpg!Large.jpg
Four Peasants at a Meal (Study for 'The Potato Eaters'),"('Gray', 'Rifle Green', 'Gray', 'Spanish Bistre', 'Brass')",1885,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/four-peasants-at-a-meal-study-for-the-potato-eaters-1885(1).jpg!Large.jpg
Four People Sharing a Meal,"('French Beige', 'Tan', 'Burlywood', 'Bistre', 'Gray')",1885,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/four-people-sharing-a-meal-1885(1).jpg!Large.jpg
Garden in the Snow,"('Bistre', 'Antique White', 'Cornsilk', 'Bistre', 'Bisque')",1885,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/garden-in-the-snow-1885(1).jpg!Large.jpg
